country,flag,map,tags
Ontario,"<img src=""ugca-flag-ontario.svg"" />","<img src=""ugca-map-ontario.png"" />",UGCA::Province
Quebec,"<img src=""ugca-flag-quebec.svg"" />","<img src=""ugca-map-quebec.png"" />",UGCA::Province
Nova Scotia,"<img src=""ugca-flag-nova_scotia.svg"" />","<img src=""ugca-map-nova_scotia.png"" />",UGCA::Province
New Brunswick,"<img src=""ugca-flag-new_brunswick.svg"" />","<img src=""ugca-map-new_brunswick.png"" />",UGCA::Province
Manitoba,"<img src=""ugca-flag-manitoba.svg"" />","<img src=""ugca-map-manitoba.png"" />",UGCA::Province
British Columbia,"<img src=""ugca-flag-british_columbia.svg"" />","<img src=""ugca-map-british_columbia.png"" />",UGCA::Province
Prince Edward Island,"<img src=""ugca-flag-prince_edward_island.svg"" />","<img src=""ugca-map-prince_edward_island_(special_marker).png"" />",UGCA::Province
Saskatchewan,"<img src=""ugca-flag-saskatchewan.svg"" />","<img src=""ugca-map-saskatchewan.png"" />",UGCA::Province
Alberta,"<img src=""ugca-flag-alberta.svg"" />","<img src=""ugca-map-alberta.png"" />",UGCA::Province
Newfoundland and Labrador,"<img src=""ugca-flag-newfoundland_and_labrador.svg"" />","<img src=""ugca-map-newfoundland_and_labrador.png"" />",UGCA::Province
Northwest Territories,"<img src=""ugca-flag-the_northwest_territories.svg"" />","<img src=""ugca-map-northwest_territories.png"" />",UGCA::Territory
Yukon,"<img src=""ugca-flag-yukon.svg"" />","<img src=""ugca-map-yukon.png"" />",UGCA::Territory
Nunavut,"<img src=""ugca-flag-nunavut.svg"" />","<img src=""ugca-map-nunavut.png"" />",UGCA::Territory
